"Story","Title","Result","Date","Stability","Duration (s)"
"Get Weather from the actual service","Get weather using city name from actual server","SUCCESS","2018-02-10T23:15:06.682-06:00","0.0","0.12"
"Get Weather from the actual service","Get weather using zipcode from actual server","SUCCESS","2018-02-10T23:15:00.291-06:00","0.0","4.7"
